,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
356,MPX International Corporation,MPXI,Life Sciences,Cannabis,CSE Composite,CAD,04-Feb-19,https://thecse.com/en/listings/life-sciences/mpx-international-corporation,"Focused on developing and operating assets across the global cannabis industry with an emphasis on cultivating, manufacturing and marketing products that include cannabinoids as their primary active ingredient."
357,MustGrow Biologics Corp.,MGRO,Life Sciences,US Cannabis,CSE Composite,CAD,10-Jul-19,https://thecse.com/en/listings/life-sciences/mustgrow-biologics-corp,"MustGrow is an agricultural biotech company focused on developing and commercializing a portfolio of patented natural bio-pesticides and bio-fertilizers, including its patented signature mustard-derived biologics. Targeting the fruit and vegetable and the cannabis industries, MustGrow has designed a US EPA and Canadian PMRA approved organic solution that uses the mustard seed’s natural defense mechanisms to protect plants from pests and diseases."
358,Mydecine Innovations Group Inc. (formerly was NLB/NewLeaf Brands Inc. until 2020-06-04),MYCO,Life Sciences,US Cannabis,CSE25,CAD,02-Sep-15,https://thecse.com/en/listings/life-sciences/mydecine-innovations-group-inc-(formerly-was-nlb/newleaf-brands-inc-until-2020-06-04),
359,MYM Nutraceuticals Inc.,MYM,Life Sciences,Cannabis,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/life-sciences/mym-nutraceuticals-inc,"MYM Nutraceuticals Inc. is a company that has applied to become a Licensed Producer under Canada’s Marihuana for Medical Purposes Regulations. The company has an extensive list of industry assets that make it well prepared for commercial distribution of medical marijuana, including a growing facility property, exclusive access to patients and many years of industry expertise on the company’s board of directors and staff."
360,Myriad Metals Corp.,MMC,Mining,,,CAD,05-Nov-19,https://thecse.com/en/listings/mining/myriad-metals-corp,"Myriad Metals Corp. is a Vancouver-based mineral exploration company currently focused on the exploration of its Millen Mountain Property located in Nova Scotia, Canada."
361,Nabis Holdings Inc.,NAB,Diversified Industries,US Cannabis,,CAD,15-Sep-15,https://thecse.com/en/listings/diversified-industries/nabis-holdings-inc,"Innovative Properties Inc. (d/b/a Nabis Holdings) manages its equity stock portfolio and investments in public and private companies across different industries. The Company was incorporated in 2002 and is headquartered in Toronto, Canada."
362,Nabis Holdings Inc. 8% 26MAR22,NAB.DB,Diversified Industries,US Cannabis,,CAD,29-Jul-19,https://thecse.com/en/listings/diversified-industries/nabis-holdings-inc-8%-26mar22,
363,Nabis Holdings Inc. Wts.,NAB.WT,Diversified Industries,US Cannabis,,CAD,29-Jul-19,https://thecse.com/en/listings/diversified-industries/nabis-holdings-inc-wts,
364,NameSilo Technologies Corp.,URL,Technology,,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/technology/namesilo-technologies-corp,"
	Brisio Innovations Inc. invests its capital in companies and opportunities which management believes are undervalued and have potential for significant appreciation.  Brisio recently acquired NameSilom, LLC, which is a low-cost provider of domain name registration and management services, and is an ICANN-accredited registrar.  NameSilo is a high growth registrar with over 1.85 million domains under management, and over 85,000 customers from approximately 160 countries."
365,NanoSphere Health Sciences Inc.,NSHS,Life Sciences,US Cannabis,,CAD,05-Dec-17,https://thecse.com/en/listings/life-sciences/nanosphere-health-sciences-inc,"
	NanoSphere Health Sciences is a biotechnology company that has developed and is commercializing its patented NanoSphere Delivery System™, a ground breaking platform using nanotechnology for the delivery of biological agents such as cannabinoids, supplements, nutraceuticals and over-the-counter medications for the cannabis, pharmaceutical and animal health industries, and beyond.  The NanoSphere Delivery System™ provides improved bioavailability, efficacy and onset of effect over traditional delivery systems, and represents one of the most important developments for advancing the non-invasive and user-friendly delivery of biological agents in over 25 years. 
	 
	Under the brand name “Evolve”, NanoSphere has already launched its acclaimed NanoSerum™  product for the recreational and medical cannabis markets in Colorado, and will build on that success by opening new markets for Evolve and developing and commercializing new applications for NanoSerum™."
366,Nass Valley Gateway Ltd.,NVG,Life Sciences,US Cannabis,CSE Composite,CAD,29-Mar-19,https://thecse.com/en/listings/life-sciences/nass-valley-gateway-ltd,
367,Nerds On Site Inc.,NERD,Technology,,,CAD,28-Nov-18,https://thecse.com/en/listings/technology/nerds-on-site-inc,"
	Nerds on Site Inc. (""NOS"") is a mobile IT technology solutions company. NOS boasts strong and growing Nerd-force of 125 technicians contractors servicing 13,000-14,000 Clients annually, with over 160,000 Clients served to date. Operations are handled by online, on-tablet mobile operating system called ""I am A Nerd or IAAN"". IAAN handles majority of day to day admin tasks autonomously bringing almost unlimited scalability, and keeps Nerds up to date through University of Nerdology. "
368,NetCents Technology Inc.,NC,Technology,Blockchain,CSE Composite,CAD,09-Mar-16,https://thecse.com/en/listings/technology/netcents-technology-inc,NetCents Technology Inc. is an electronic online Payment Service Provider. It offers clients and merchants online services for managing electronic payments by a variety of payment methods through its processing platform.
369,Netcoins Holdings Inc. (formerly was NETC/Netcoins Holdings Inc. until 2019-11-12),NETC.X,Technology,,,CAD,14-Mar-18,https://thecse.com/en/listings/technology/netcoins-holdings-inc-(formerly-was-netc/netcoins-holdings-inc-until-2019-11-12),
370,New Leaf Ventures Inc.,NLV,Life Sciences,Cannabis,,CAD,01-May-20,https://thecse.com/en/listings/life-sciences/new-leaf-ventures-inc,"The Issuer will provide consulting services, real property, intellectual property, equipment for lease and enhanced ancillary services to a licensed cannabis producer and processor."
371,New Tech Minerals Corp.,NTM,Mining,,,CAD,01-Sep-15,https://thecse.com/en/listings/mining/new-tech-minerals-corp,"New Tech Minerals Corp. has been exploring for Potash and associated brines including, Lithium in the Paradox Basin of SE Utah (UT), USA for over eight years. The company is also exploring for Cobalt and Vanadium in Nevada and Missouri."
372,New Wave Holdings Corp. (formerly was NWES/New Wave Esports Corp. until 2020-05-07),SPOR,Technology,,CSE Composite,CAD,28-Oct-19,https://thecse.com/en/listings/technology/new-wave-holdings-corp-(formerly-was-nwes/new-wave-esports-corp-until-2020-05-07),
373,New Wave Holdings Corp. Wts. (formerly was NWES.WT/New Wave Esports Corp. Wts. until 2020-05-07),SPOR.WT,,,,CAD,28-Oct-19,,
374,Newlox Gold Ventures Corp.,LUX,CleanTech,,,CAD,02-Sep-15,https://thecse.com/en/listings/cleantech/newlox-gold-ventures-corp,Newlox Gold Ventures Corp. is an environmental remediation company recovering contaminants and residual precious metals from historical waste left behind over more than a century of inefficient artisanal and small-scale mining in politically and socially stable jurisdictions in Latin America.
375,Nexco Resources Inc.,NXU,Mining,,,CAD,09-May-17,https://thecse.com/en/listings/mining/nexco-resources-inc,"Nexco Resources Inc. (“Nexco”) is a mineral resource company engaged in the acquisition, exploration and development of mineral resource properties. The sole mineral resource property interest of Nexco at the present time is the Berger-Golden Eagle Mineral property located near South Central British Columbia."
376,Next Green Wave Holdings Inc.,NGW,Life Sciences,US Cannabis,CSE Composite,CAD,10-Oct-18,https://thecse.com/en/listings/life-sciences/next-green-wave-holdings-inc,"The Company, through its subsidiary, intends to focus on its vertically integrated ""seed-to-sale"" operations in the City of Coalinga, California.   The Company holds Type R (Nursery Cultivation), Type 3A (Indoor Cultivation), Type 7 (Volatile Extraction) and Type 12 (Distribution) Conditional Use Permits that will enable it to produce, process, distribute and sell premium cannabis and cannabinoid infused products in the State of California.   "
377,NexTech AR Solutions Corp,NTAR,Technology,,CSE25,CAD,31-Oct-18,https://thecse.com/en/listings/technology/nextech-ar-solutions-corp,"NexTech is bringing augmented reality (AR) to the masses by creating an AR ecosystem featuring eCommerce solutions for websites, AR learning and education as well as AR live streaming for events.  The company has filed a patent around its AR web-enabled eCommerce platform which has been integrated with Shopify, Wordpress and Magento."
378,Nextleaf Solutions Ltd.,OILS,Life Sciences,Cannabis,CSE Composite,CAD,21-Mar-19,https://thecse.com/en/listings/life-sciences/nextleaf-solutions-ltd,"OILS is Canada's most innovative cannabis extractor, developing technology for extracting and distilling cannabinoids. OILS provides extraction services and wholesale of THC and CBD oils through its wholly owned subsidiary Nextleaf Labs, a Health Canada licensed standard processor. Nextleaf's proprietary closed-loop extraction plant in Metro Vancouver has a design capacity to process 600 kg per day of dried cannabis biomass into distilled oils. OILS is the first public company to be issued U.S. patents for industrial-scale extraction and distillation of cannabinoids. The Company owns a portfolio of 40 issued patents and over 60 pending patents for the extraction, purification, and formulation of cannabinoids."
